Subject,Cond,Attempted,Correct,percent,Date,Time,SMT1,SMT2,SMT3,SMT4,SMT5,SMT6,SMT7,SMT8,SMT9,SMT10,SMT11,SMT12,SMT13,SMT14,SMT15,SMT16,SMT17,SMT18,SMT19,SMT20,SMT21,SMT22,SMT23,SMT24,SMT25
39,2,5,1,0.2,11/17/2014,16:07:39,c,x,ok,ok,ok,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
41,2,5,5,1,11/17/2014,19:07:42,c,c,c,c,c,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
43,2,11,7,0.636363636,11/18/2014,13:28:33,c,c,ok,ok,c,c,ok,c,c,1,c,99,99,99,99,99,99,99,99,99,99,99,99,99,99
47,2,7,4,0.571428571,11/18/2014,18:19:21,c,c,ok,ok,c,ok,c,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
49,2,4,2,0.5,11/19/2014,9:41:05,c,c,ok,ok,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
51,2,8,4,0.5,11/19/2014,14:09:22,c,x,ok,ok,c,c,ok,c,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
53,2,4,1,0.25,11/19/2014,15:42:54,c,x,ok,ok,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
55,2,10,9,0.9,11/19/2014,16:42:53,c,c,c,c,c,c,c,c,c,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
55,2,17,10,0.588235294,11/19/2014,18:55:57,c,x,c,ok,c,c,c,c,c,2,c,4,3,3,c,c,ok,99,99,99,99,99,99,99,99
58,2,11,9,0.818181818,11/20/2014,13:26:13,c,c,c,ok,c,c,ok,c,c,c,c,99,99,99,99,99,99,99,99,99,99,99,99,99,99
60,2,16,15,0.9375,11/20/2014,14:45:59,c,c,c,c,c,c,c,c,c,c,c,c,c,2,c,c,99,99,99,99,99,99,99,99,99
62,2,8,4,0.5,11/25/2014,9:25:18,c,x,ok,ok,c,c,c,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
64,2,16,9,0.5625,11/25/2014,13:25:02,c,x,ok,ok,c,c,ok,c,3,c,c,c,2,3,c,c,99,99,99,99,99,99,99,99,99
66,2,6,2,0.333333333,12/1/2014,12:32:34,c,x,ok,ok,c,ok,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
