,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
theta[1002],-0.471,0.163,-0.774,-0.166,0.002,0.001,9446.0,12843.0,1.0
theta[306],0.2,0.16,-0.103,0.499,0.001,0.001,11976.0,13657.0,1.0
theta[1156],0.411,0.166,0.087,0.708,0.002,0.001,10796.0,12561.0,1.0
theta[105],0.243,0.172,-0.085,0.561,0.002,0.001,10945.0,13457.0,1.0
theta[296],0.698,0.149,0.419,0.978,0.002,0.001,9133.0,12070.0,1.0
theta[103],0.165,0.182,-0.173,0.511,0.002,0.001,13000.0,12374.0,1.0
theta[997],-0.454,0.176,-0.783,-0.124,0.001,0.002,13851.0,12776.0,1.0
theta[993],0.68,0.166,0.364,0.987,0.002,0.001,11372.0,11163.0,1.0
theta[876],0.429,0.161,0.134,0.74,0.002,0.001,10500.0,12732.0,1.0
theta[805],0.006,0.172,-0.311,0.336,0.001,0.001,13303.0,12821.0,1.0
theta[537],1.288,0.147,1.018,1.571,0.002,0.001,6870.0,10492.0,1.0
theta[286],0.324,0.168,0.003,0.633,0.002,0.001,12476.0,12962.0,1.0
theta[143],0.441,0.161,0.13,0.737,0.002,0.001,10410.0,13374.0,1.0
theta[621],-0.706,0.199,-1.08,-0.328,0.002,0.002,14967.0,13066.0,1.0
theta[78],-0.091,0.173,-0.42,0.229,0.001,0.001,13905.0,13370.0,1.0
theta[283],-2.6,0.16,-2.898,-2.294,0.002,0.001,4607.0,9422.0,1.0
theta[487],-0.036,0.172,-0.362,0.284,0.001,0.001,14193.0,12943.0,1.0
theta[1192],-0.295,0.186,-0.637,0.06,0.001,0.002,17685.0,12941.0,1.0
theta[982],1.1,0.142,0.829,1.362,0.002,0.001,6504.0,11670.0,1.0
theta[797],0.607,0.157,0.303,0.889,0.002,0.001,9585.0,12394.0,1.0
theta[757],-0.594,0.164,-0.889,-0.275,0.002,0.001,10652.0,13177.0,1.0
theta[688],-1.324,0.15,-1.606,-1.044,0.002,0.001,7236.0,12058.0,1.0
theta[732],0.574,0.21,0.173,0.966,0.002,0.002,19163.0,13528.0,1.0
theta[890],-2.611,0.226,-3.026,-2.176,0.002,0.002,8351.0,11860.0,1.0
theta[323],-0.341,0.157,-0.632,-0.043,0.002,0.001,10368.0,13074.0,1.0
theta[1108],0.681,0.166,0.378,1.004,0.002,0.001,11944.0,11004.0,1.0
theta[161],-1.879,0.159,-2.164,-1.569,0.002,0.001,6577.0,11281.0,1.0
theta[553],-0.755,0.152,-1.046,-0.471,0.002,0.001,9723.0,11910.0,1.0
theta[1185],-1.57,0.219,-1.983,-1.15,0.002,0.002,11409.0,12585.0,1.0
theta[387],-1.268,0.298,-1.831,-0.717,0.002,0.002,24437.0,13229.0,1.0
theta[475],-0.059,0.167,-0.375,0.25,0.002,0.001,11809.0,11358.0,1.0
theta[526],-1.5,0.396,-2.239,-0.745,0.002,0.003,29036.0,12652.0,1.0
theta[473],-0.211,0.19,-0.581,0.135,0.002,0.002,11754.0,11989.0,1.0
theta[1187],-1.409,0.149,-1.687,-1.13,0.002,0.001,6629.0,10974.0,1.0
theta[579],1.163,0.172,0.825,1.471,0.002,0.001,9670.0,11442.0,1.0
theta[854],0.846,0.167,0.529,1.153,0.002,0.001,9809.0,12574.0,1.0
theta[765],-0.052,0.167,-0.372,0.262,0.002,0.001,11155.0,12906.0,1.0
theta[123],-0.149,0.162,-0.455,0.156,0.001,0.001,12562.0,12720.0,1.0
theta[538],0.286,0.149,0.004,0.561,0.002,0.001,8331.0,12191.0,1.0
theta[219],0.116,0.167,-0.194,0.436,0.002,0.001,10549.0,11062.0,1.0
theta[977],-1.414,0.176,-1.737,-1.084,0.002,0.001,8858.0,11906.0,1.0
theta[333],-1.174,0.21,-1.562,-0.771,0.002,0.002,13813.0,12305.0,1.0
theta[338],-3.074,0.227,-3.508,-2.662,0.003,0.002,7465.0,10567.0,1.0
theta[630],-0.897,0.155,-1.189,-0.61,0.002,0.001,8444.0,11525.0,1.0
theta[142],-0.169,0.172,-0.49,0.156,0.001,0.001,15848.0,11961.0,1.0
theta[393],0.211,0.16,-0.089,0.516,0.001,0.001,12372.0,12573.0,1.0
theta[111],-0.637,0.166,-0.942,-0.325,0.002,0.001,10613.0,12097.0,1.0
theta[894],0.421,0.158,0.121,0.713,0.002,0.001,10218.0,12679.0,1.0
theta[139],0.076,0.177,-0.268,0.394,0.002,0.002,13817.0,12719.0,1.0
theta[816],-1.969,0.141,-2.231,-1.7,0.002,0.001,4726.0,9368.0,1.0
theta[1048],1.103,0.162,0.799,1.408,0.002,0.001,7981.0,10677.0,1.0
theta[944],-0.021,0.164,-0.322,0.291,0.002,0.001,10500.0,13046.0,1.0
theta[815],0.9,0.166,0.586,1.214,0.002,0.001,9361.0,12511.0,1.0
theta[1111],1.271,0.15,0.992,1.553,0.002,0.001,7293.0,12651.0,1.0
theta[1188],0.292,0.164,-0.017,0.596,0.001,0.001,12878.0,12247.0,1.0
theta[985],0.529,0.149,0.248,0.807,0.002,0.001,8415.0,10926.0,1.0
theta[612],-2.155,0.173,-2.481,-1.83,0.002,0.001,6083.0,10274.0,1.0
theta[609],-0.751,0.2,-1.139,-0.39,0.002,0.002,13600.0,12796.0,1.0
theta[673],1.065,0.162,0.763,1.369,0.002,0.001,9461.0,12178.0,1.0
theta[902],0.968,0.147,0.685,1.241,0.002,0.001,7201.0,10137.0,1.0
theta[994],-1.276,0.19,-1.639,-0.926,0.002,0.002,11346.0,11781.0,1.0
theta[882],-1.305,0.184,-1.671,-0.974,0.002,0.002,9359.0,11069.0,1.0
theta[269],1.181,0.151,0.897,1.467,0.002,0.001,6066.0,9304.0,1.0
theta[853],0.443,0.153,0.168,0.744,0.002,0.001,9333.0,12209.0,1.0
theta[1110],-0.758,0.163,-1.072,-0.461,0.002,0.001,9947.0,12512.0,1.0
theta[812],0.263,0.159,-0.043,0.559,0.001,0.001,12568.0,11282.0,1.0
theta[694],-1.17,0.224,-1.6,-0.758,0.002,0.002,13178.0,13350.0,1.0
theta[1057],1.123,0.149,0.853,1.412,0.002,0.001,7210.0,11044.0,1.0
theta[1051],0.426,0.163,0.114,0.728,0.002,0.001,11234.0,12781.0,1.0
theta[20],0.598,0.159,0.3,0.899,0.002,0.001,10758.0,11676.0,1.0
theta[769],-0.585,0.172,-0.897,-0.256,0.002,0.001,9787.0,12493.0,1.0
theta[587],-3.068,0.263,-3.571,-2.586,0.003,0.002,9678.0,11226.0,1.0
theta[130],-0.793,0.34,-1.45,-0.182,0.002,0.003,28653.0,12819.0,1.0
theta[895],-0.016,0.167,-0.332,0.295,0.001,0.001,13523.0,12217.0,1.0
theta[1001],-1.319,0.218,-1.729,-0.915,0.002,0.002,12283.0,12055.0,1.0
theta[263],0.582,0.153,0.288,0.867,0.002,0.001,9502.0,12575.0,1.0
theta[81],0.069,0.166,-0.245,0.376,0.001,0.001,13906.0,13874.0,1.0
theta[573],-0.917,0.166,-1.237,-0.609,0.002,0.001,10908.0,10766.0,1.0
theta[432],1.06,0.152,0.772,1.338,0.002,0.001,6832.0,11367.0,1.0
theta[355],0.961,0.15,0.689,1.252,0.002,0.001,7480.0,11027.0,1.0
theta[342],0.812,0.144,0.539,1.082,0.002,0.001,8609.0,12631.0,1.0
theta[293],0.651,0.168,0.342,0.973,0.002,0.001,10580.0,13075.0,1.0
theta[1020],-0.563,0.419,-1.348,0.215,0.002,0.003,31060.0,14161.0,1.0
theta[870],-0.626,0.185,-0.985,-0.29,0.002,0.001,13764.0,13606.0,1.0
theta[787],0.682,0.16,0.376,0.98,0.002,0.001,10348.0,13281.0,1.0
theta[776],0.353,0.171,0.036,0.674,0.002,0.001,11749.0,12464.0,1.0
theta[133],-0.512,0.152,-0.805,-0.235,0.002,0.001,9056.0,12386.0,1.0
theta[119],-0.374,0.159,-0.681,-0.09,0.002,0.001,10863.0,13768.0,1.0
theta[592],0.901,0.154,0.608,1.185,0.002,0.001,7988.0,13005.0,1.0
theta[461],0.637,0.153,0.343,0.919,0.002,0.001,9009.0,13446.0,1.0
theta[822],0.631,0.161,0.328,0.932,0.002,0.001,11247.0,12312.0,1.0
theta[530],0.254,0.184,-0.096,0.589,0.001,0.002,15653.0,13199.0,1.0
theta[485],0.518,0.156,0.229,0.815,0.001,0.001,11710.0,12434.0,1.0
theta[509],0.314,0.154,0.032,0.613,0.002,0.001,10044.0,12660.0,1.0
theta[613],-0.773,0.179,-1.123,-0.453,0.002,0.001,12011.0,12405.0,1.0
theta[330],-0.31,0.177,-0.651,0.017,0.002,0.002,13666.0,12811.0,1.0
theta[467],0.459,0.162,0.156,0.764,0.002,0.001,8687.0,11498.0,1.0
theta[1143],-0.232,0.199,-0.61,0.132,0.001,0.002,17896.0,12413.0,1.0
theta[525],1.102,0.15,0.813,1.381,0.002,0.001,7371.0,11785.0,1.0
theta[48],0.655,0.137,0.399,0.912,0.002,0.001,6979.0,9963.0,1.0
theta[45],-1.744,0.466,-2.603,-0.844,0.003,0.004,27576.0,12904.0,1.0
theta[1112],0.866,0.15,0.583,1.146,0.002,0.001,7829.0,12791.0,1.0
theta[758],-2.094,0.266,-2.595,-1.596,0.002,0.002,16260.0,12312.0,1.0
theta[860],0.861,0.149,0.568,1.131,0.002,0.001,7799.0,11959.0,1.0
theta[836],-0.916,0.188,-1.278,-0.576,0.002,0.002,12553.0,13090.0,1.0
theta[674],0.21,0.155,-0.079,0.503,0.002,0.001,10245.0,12429.0,1.0
theta[309],-1.009,0.18,-1.355,-0.677,0.002,0.001,13161.0,12435.0,1.0
theta[480],0.3,0.155,0.008,0.59,0.002,0.001,9066.0,11813.0,1.0
theta[1045],0.403,0.155,0.109,0.692,0.001,0.001,11346.0,12336.0,1.0
theta[670],-1.796,0.272,-2.315,-1.295,0.002,0.002,18571.0,13345.0,1.0
theta[610],-0.328,0.178,-0.668,0.001,0.002,0.002,13056.0,12483.0,1.0
theta[1100],-0.926,0.152,-1.207,-0.637,0.002,0.001,6844.0,11748.0,1.0
theta[433],0.518,0.139,0.244,0.771,0.002,0.001,7905.0,12003.0,1.0
theta[252],-0.441,0.176,-0.765,-0.097,0.002,0.001,10393.0,12758.0,1.0
theta[488],0.165,0.179,-0.163,0.506,0.002,0.001,13837.0,12395.0,1.0
theta[516],1.053,0.153,0.771,1.348,0.002,0.001,7513.0,11393.0,1.0
theta[369],1.077,0.148,0.789,1.346,0.002,0.001,7854.0,12424.0,1.0
theta[559],-0.588,0.187,-0.941,-0.243,0.002,0.002,10770.0,11480.0,1.0
theta[471],0.149,0.159,-0.153,0.445,0.001,0.001,12328.0,12506.0,1.0
theta[390],-0.411,0.209,-0.801,-0.019,0.002,0.002,17978.0,12971.0,1.0
theta[1144],-0.383,0.176,-0.717,-0.054,0.002,0.001,11741.0,13807.0,1.0
theta[418],0.375,0.145,0.105,0.647,0.002,0.001,8281.0,11815.0,1.0
theta[428],-0.402,0.161,-0.71,-0.105,0.002,0.001,11377.0,12371.0,1.0
theta[618],-1.833,0.196,-2.209,-1.476,0.002,0.002,9307.0,11170.0,1.0
theta[966],-0.692,0.148,-0.971,-0.418,0.002,0.001,8442.0,11531.0,1.0
theta[382],0.856,0.155,0.565,1.148,0.002,0.001,9088.0,10862.0,1.0
theta[1097],0.555,0.365,-0.136,1.226,0.002,0.003,30022.0,13201.0,1.0
theta[1030],0.059,0.161,-0.233,0.37,0.002,0.001,10556.0,11706.0,1.0
theta[266],-0.637,0.196,-1.004,-0.276,0.002,0.002,12860.0,12000.0,1.0
theta[779],-3.1,0.18,-3.441,-2.761,0.003,0.001,4287.0,8126.0,1.0
theta[599],-0.15,0.17,-0.471,0.165,0.002,0.001,12121.0,12089.0,1.0
theta[15],-0.222,0.168,-0.531,0.097,0.002,0.001,11897.0,12387.0,1.0
theta[718],0.515,0.154,0.218,0.797,0.002,0.001,9888.0,13791.0,1.0
theta[137],-0.974,0.207,-1.357,-0.58,0.002,0.002,14082.0,12933.0,1.0
theta[1124],0.721,0.157,0.421,1.012,0.002,0.001,8565.0,11988.0,1.0
theta[933],-0.602,0.159,-0.891,-0.298,0.002,0.001,8860.0,10516.0,1.0
theta[364],0.306,0.163,-0.0,0.611,0.002,0.001,10830.0,12612.0,1.0
theta[226],0.08,0.178,-0.25,0.419,0.002,0.001,13595.0,12810.0,1.0
theta[521],-0.413,0.162,-0.712,-0.105,0.002,0.001,10941.0,12158.0,1.0
theta[1034],0.746,0.16,0.435,1.038,0.002,0.001,9759.0,11323.0,1.0
theta[691],0.838,0.164,0.521,1.137,0.002,0.001,11076.0,12474.0,1.0
theta[362],-0.376,0.179,-0.718,-0.047,0.002,0.001,14168.0,13293.0,1.0
theta[185],-0.823,0.175,-1.14,-0.481,0.002,0.001,12857.0,12708.0,1.0
theta[563],0.285,0.188,-0.052,0.656,0.002,0.002,13416.0,12292.0,1.0
theta[844],1.031,0.152,0.756,1.323,0.002,0.001,8393.0,11384.0,1.0
theta[299],-2.432,0.252,-2.909,-1.963,0.002,0.002,10458.0,10658.0,1.0
theta[109],0.804,0.29,0.254,1.344,0.002,0.002,25547.0,13476.0,1.0
theta[503],-1.184,0.173,-1.501,-0.858,0.002,0.002,10494.0,10026.0,1.0
theta[778],0.341,0.157,0.054,0.643,0.002,0.001,9264.0,11783.0,1.0
theta[469],0.152,0.158,-0.138,0.456,0.002,0.001,9935.0,13043.0,1.0
theta[445],-1.033,0.221,-1.445,-0.611,0.002,0.002,15731.0,13094.0,1.0
theta[867],-0.094,0.183,-0.44,0.248,0.002,0.002,13610.0,12804.0,1.0
theta[741],-1.393,0.163,-1.698,-1.086,0.002,0.001,8214.0,10886.0,1.0
theta[799],1.122,0.163,0.814,1.425,0.002,0.001,8161.0,11485.0,1.0
theta[906],0.34,0.206,-0.049,0.725,0.002,0.002,17159.0,11707.0,1.0
theta[316],-0.278,0.163,-0.579,0.027,0.001,0.001,13104.0,13460.0,1.0
theta[664],-0.93,0.169,-1.238,-0.602,0.002,0.001,11027.0,12792.0,1.0
theta[172],-2.282,0.476,-3.169,-1.374,0.003,0.004,30663.0,13711.0,1.0
theta[413],1.356,0.159,1.062,1.661,0.002,0.001,8431.0,10805.0,1.0
theta[174],-0.467,0.157,-0.767,-0.175,0.002,0.001,10905.0,11409.0,1.0
theta[611],0.846,0.153,0.556,1.132,0.002,0.001,8854.0,13137.0,1.0
theta[186],0.683,0.166,0.368,0.991,0.002,0.001,8303.0,12078.0,1.0
theta[864],0.865,0.15,0.587,1.155,0.002,0.001,8379.0,11874.0,1.0
theta[265],-1.195,0.186,-1.537,-0.842,0.002,0.002,10647.0,12015.0,1.0
theta[590],-0.44,0.184,-0.775,-0.086,0.002,0.001,12984.0,12396.0,1.0
theta[680],-2.718,0.822,-4.224,-1.144,0.005,0.007,32768.0,12659.0,1.0
theta[149],-2.195,0.519,-3.161,-1.2,0.003,0.004,30518.0,13997.0,1.0
theta[496],0.784,0.157,0.499,1.084,0.002,0.001,9028.0,11485.0,1.0
theta[1085],0.774,0.155,0.481,1.066,0.001,0.001,10671.0,11449.0,1.0
theta[151],0.988,0.15,0.701,1.265,0.002,0.001,8278.0,10016.0,1.0
theta[953],0.64,0.177,0.308,0.968,0.002,0.001,11318.0,12555.0,1.0
theta[935],0.943,0.152,0.664,1.238,0.002,0.001,8059.0,10355.0,1.0
theta[633],-0.032,0.167,-0.35,0.278,0.002,0.001,10103.0,12007.0,1.0
theta[833],-0.381,0.152,-0.672,-0.099,0.002,0.001,10070.0,12161.0,1.0
theta[1094],0.642,0.143,0.376,0.913,0.002,0.001,7832.0,10765.0,1.0
theta[505],0.984,0.146,0.708,1.254,0.002,0.001,6924.0,11468.0,1.0
theta[1054],-0.322,0.173,-0.639,0.011,0.002,0.001,11940.0,13541.0,1.0
theta[1153],1.023,0.16,0.721,1.324,0.002,0.001,9383.0,12424.0,1.0
theta[234],0.074,0.158,-0.221,0.375,0.001,0.001,11174.0,12097.0,1.0
theta[198],-0.178,0.14,-0.442,0.08,0.001,0.001,8817.0,11555.0,1.0
theta[140],-0.586,0.308,-1.176,-0.016,0.002,0.003,29451.0,13777.0,1.0
theta[1041],1.049,0.144,0.779,1.318,0.002,0.001,8124.0,10310.0,1.0
theta[1061],0.038,0.149,-0.241,0.316,0.001,0.001,11431.0,13510.0,1.0
theta[38],-0.622,0.17,-0.936,-0.303,0.002,0.001,12488.0,12284.0,1.0
theta[383],-2.633,0.192,-2.998,-2.277,0.002,0.002,6273.0,10929.0,1.0
theta[638],0.508,0.412,-0.258,1.303,0.002,0.003,27953.0,13328.0,1.0
theta[719],0.387,0.166,0.076,0.695,0.002,0.001,11087.0,12269.0,1.0
theta[1003],-0.848,0.175,-1.169,-0.513,0.002,0.001,11597.0,13242.0,1.0
theta[884],0.708,0.156,0.408,0.995,0.002,0.001,9096.0,12610.0,1.0
theta[542],0.395,0.177,0.069,0.737,0.002,0.001,12224.0,12820.0,1.0
theta[196],-0.367,0.177,-0.698,-0.031,0.002,0.001,12018.0,12396.0,1.0
theta[367],-0.368,0.166,-0.672,-0.052,0.002,0.001,11345.0,11856.0,1.0
theta[1120],-1.91,0.218,-2.313,-1.491,0.002,0.002,10830.0,11965.0,1.0
theta[950],1.154,0.153,0.867,1.44,0.002,0.001,8427.0,11468.0,1.0
theta[565],0.976,0.154,0.687,1.269,0.002,0.001,8533.0,10430.0,1.0
theta[202],0.273,0.167,-0.038,0.591,0.002,0.001,10551.0,13859.0,1.0
theta[832],0.172,0.42,-0.643,0.931,0.002,0.003,31607.0,13875.0,1.0
theta[637],-0.038,0.16,-0.338,0.261,0.001,0.001,11804.0,12612.0,1.0
theta[118],0.502,0.172,0.185,0.827,0.002,0.001,10731.0,11737.0,1.0
theta[36],0.446,0.157,0.142,0.729,0.002,0.001,8872.0,13058.0,1.0
theta[969],1.786,0.15,1.509,2.072,0.002,0.001,5356.0,10381.0,1.0
theta[33],0.398,0.16,0.106,0.704,0.001,0.001,12601.0,12631.0,1.0
theta[1175],0.016,0.152,-0.273,0.301,0.002,0.001,9588.0,10939.0,1.0
theta[417],1.256,0.144,0.978,1.519,0.002,0.001,6593.0,11246.0,1.0
theta[683],-2.842,0.189,-3.196,-2.481,0.002,0.002,6098.0,11130.0,1.0
theta[131],-0.038,0.15,-0.325,0.239,0.002,0.001,8956.0,12571.0,1.0
theta[409],-0.207,0.24,-0.657,0.242,0.002,0.002,23454.0,13257.0,1.0
theta[221],0.665,0.157,0.377,0.964,0.002,0.001,10357.0,12445.0,1.0
theta[225],0.499,0.165,0.193,0.805,0.002,0.001,10469.0,11254.0,1.0
theta[604],0.976,0.157,0.683,1.276,0.002,0.001,8847.0,12884.0,1.0
theta[500],0.272,0.174,-0.05,0.609,0.001,0.001,14118.0,13035.0,1.0
theta[1165],0.269,0.149,-0.011,0.55,0.001,0.001,10560.0,12582.0,1.0
theta[910],-0.164,0.162,-0.459,0.143,0.002,0.001,9989.0,12851.0,1.0
theta[153],0.572,0.171,0.263,0.903,0.002,0.001,11407.0,12392.0,1.0
theta[937],-0.437,0.153,-0.717,-0.145,0.002,0.001,8783.0,10598.0,1.0
theta[1093],0.24,0.167,-0.073,0.55,0.001,0.001,12564.0,12999.0,1.0
theta[52],0.312,0.189,-0.048,0.66,0.002,0.002,11436.0,12213.0,1.0
theta[596],-2.201,0.534,-3.194,-1.183,0.003,0.005,30655.0,13586.0,1.0
theta[712],0.501,0.159,0.206,0.798,0.002,0.001,7827.0,12023.0,1.0
theta[291],0.918,0.145,0.645,1.19,0.002,0.001,7335.0,10124.0,1.0
theta[122],1.149,0.145,0.873,1.421,0.002,0.001,6947.0,11405.0,1.0
theta[671],0.271,0.157,-0.019,0.565,0.002,0.001,9864.0,12324.0,1.0
theta[515],0.597,0.16,0.295,0.898,0.002,0.001,11428.0,11507.0,1.0
theta[1038],0.781,0.164,0.469,1.084,0.002,0.001,10919.0,11916.0,1.0
theta[1126],-0.321,0.174,-0.644,0.009,0.002,0.001,11633.0,12554.0,1.0
theta[152],-0.335,0.17,-0.647,-0.009,0.001,0.001,16685.0,12121.0,1.0
theta[873],0.688,0.158,0.386,0.977,0.002,0.001,10039.0,11930.0,1.0
theta[491],-0.663,0.153,-0.947,-0.372,0.002,0.001,8820.0,12434.0,1.0
theta[261],-1.111,0.171,-1.42,-0.78,0.002,0.001,11115.0,11120.0,1.0
theta[1046],0.566,0.151,0.285,0.851,0.002,0.001,8447.0,11765.0,1.0
theta[878],-0.8,0.153,-1.086,-0.512,0.002,0.001,8752.0,11568.0,1.0
theta[392],-1.058,0.161,-1.364,-0.76,0.002,0.001,8750.0,12301.0,1.0
theta[1070],0.705,0.358,0.01,1.361,0.002,0.003,30543.0,13595.0,1.0
theta[1069],1.431,0.153,1.137,1.712,0.002,0.001,7329.0,11821.0,1.0
theta[1170],-2.146,0.153,-2.437,-1.865,0.002,0.001,4775.0,8934.0,1.0
theta[16],0.538,0.148,0.248,0.808,0.002,0.001,9537.0,11642.0,1.0
theta[823],0.104,0.155,-0.2,0.383,0.001,0.001,12204.0,12946.0,1.0
theta[962],-0.736,0.166,-1.055,-0.43,0.002,0.001,11213.0,12005.0,1.0
theta[373],0.995,0.161,0.68,1.285,0.002,0.001,9561.0,10680.0,1.0
theta[1006],0.527,0.147,0.254,0.807,0.002,0.001,8701.0,13309.0,1.0
theta[1064],-0.366,0.325,-0.971,0.241,0.002,0.003,28026.0,12562.0,1.0
theta[824],1.091,0.144,0.816,1.355,0.002,0.001,7217.0,12188.0,1.0
theta[986],0.752,0.152,0.474,1.049,0.002,0.001,8559.0,11207.0,1.0
theta[25],0.614,0.141,0.35,0.881,0.002,0.001,6567.0,11653.0,1.0
theta[134],1.199,0.156,0.898,1.484,0.002,0.001,7851.0,11067.0,1.0
theta[320],0.532,0.157,0.229,0.824,0.002,0.001,10321.0,12283.0,1.0
theta[59],1.024,0.165,0.712,1.331,0.002,0.001,10366.0,12710.0,1.0
theta[1166],0.947,0.146,0.681,1.226,0.002,0.001,8715.0,11801.0,1.0
theta[447],0.632,0.154,0.343,0.92,0.002,0.001,10257.0,12705.0,1.0
theta[1171],0.335,0.177,0.002,0.661,0.002,0.001,10810.0,12422.0,1.0
theta[340],-0.901,0.218,-1.31,-0.496,0.002,0.002,15424.0,12824.0,1.0
theta[184],0.444,0.155,0.149,0.737,0.001,0.001,11500.0,12722.0,1.0
theta[1075],-2.101,0.356,-2.754,-1.417,0.002,0.003,26018.0,13087.0,1.0
theta[879],0.962,0.151,0.676,1.242,0.002,0.001,8567.0,11266.0,1.0
theta[972],-0.097,0.26,-0.592,0.397,0.002,0.002,22940.0,13043.0,1.0
theta[358],0.667,0.193,0.302,1.028,0.002,0.002,13281.0,12804.0,1.0
theta[297],-0.122,0.197,-0.506,0.234,0.002,0.002,13643.0,13084.0,1.0
theta[160],-0.56,0.165,-0.866,-0.247,0.002,0.001,10351.0,12825.0,1.0
theta[391],0.086,0.154,-0.2,0.374,0.002,0.001,9291.0,10313.0,1.0
theta[128],1.353,0.15,1.075,1.638,0.002,0.001,6786.0,11330.0,1.0
theta[1131],0.398,0.156,0.104,0.693,0.002,0.001,9562.0,13581.0,1.0
theta[900],-0.01,0.151,-0.297,0.272,0.001,0.001,10238.0,10776.0,1.0
theta[76],1.01,0.215,0.617,1.429,0.002,0.002,15536.0,12880.0,1.0
theta[695],0.645,0.154,0.359,0.934,0.002,0.001,8952.0,13055.0,1.0
theta[603],0.207,0.15,-0.077,0.491,0.001,0.001,10791.0,11314.0,1.0
theta[885],0.674,0.168,0.365,1.002,0.002,0.001,9784.0,11889.0,1.0
theta[7],-1.153,0.258,-1.655,-0.683,0.002,0.002,19350.0,13572.0,1.0
theta[50],0.742,0.15,0.463,1.027,0.002,0.001,9405.0,12378.0,1.0
theta[1174],0.816,0.14,0.555,1.082,0.002,0.001,7122.0,11834.0,1.0
theta[624],0.929,0.15,0.635,1.201,0.002,0.001,9134.0,11786.0,1.0
theta[696],-2.585,0.187,-2.936,-2.231,0.002,0.002,6251.0,10202.0,1.0
theta[275],0.701,0.155,0.41,0.984,0.002,0.001,9553.0,11003.0,1.0
theta[971],-0.932,0.195,-1.292,-0.555,0.002,0.002,12447.0,12388.0,1.0
theta[34],1.299,0.165,0.981,1.601,0.002,0.001,7760.0,10928.0,1.0
theta[968],0.725,0.147,0.443,0.992,0.002,0.001,9466.0,12393.0,1.0
theta[1119],0.309,0.159,0.009,0.604,0.001,0.001,11381.0,12724.0,1.0
theta[1186],0.543,0.163,0.228,0.842,0.002,0.001,11661.0,11922.0,1.0
theta[195],1.181,0.146,0.919,1.47,0.002,0.001,6968.0,11784.0,1.0
theta[1113],0.915,0.148,0.638,1.19,0.002,0.001,8415.0,9497.0,1.0
theta[284],-1.231,0.166,-1.539,-0.918,0.002,0.001,9560.0,10809.0,1.0
theta[859],0.189,0.15,-0.086,0.475,0.001,0.001,10352.0,11788.0,1.0
theta[132],-0.825,0.628,-1.971,0.376,0.004,0.005,32352.0,12996.0,1.0
theta[13],0.778,0.154,0.499,1.076,0.002,0.001,9246.0,11662.0,1.0
theta[919],0.897,0.149,0.624,1.186,0.002,0.001,7794.0,10957.0,1.0
theta[701],0.792,0.152,0.511,1.085,0.002,0.001,8851.0,12016.0,1.0
theta[1168],0.075,0.16,-0.224,0.375,0.002,0.001,9736.0,13373.0,1.0
theta[1182],-0.394,0.162,-0.688,-0.081,0.002,0.001,9823.0,12320.0,1.0
theta[529],-0.478,0.168,-0.794,-0.167,0.002,0.001,10768.0,12579.0,1.0
theta[754],-1.551,0.192,-1.901,-1.18,0.002,0.002,9495.0,12721.0,1.0
theta[102],0.177,0.177,-0.152,0.516,0.002,0.002,13775.0,11771.0,1.0
theta[567],0.64,0.144,0.362,0.906,0.002,0.001,8010.0,11086.0,1.0
theta[322],0.599,0.145,0.322,0.867,0.002,0.001,8156.0,13170.0,1.0
theta[1067],1.081,0.151,0.798,1.368,0.002,0.001,7809.0,11347.0,1.0
theta[426],1.249,0.146,0.974,1.52,0.002,0.001,7764.0,12975.0,1.0
theta[1138],-0.649,0.187,-1.002,-0.298,0.001,0.002,16358.0,13318.0,1.0
theta[171],0.809,0.15,0.533,1.093,0.002,0.001,9059.0,11849.0,1.0
theta[945],0.776,0.145,0.51,1.052,0.002,0.001,7669.0,10821.0,1.0
theta[101],-0.053,0.193,-0.409,0.314,0.002,0.002,12128.0,12725.0,1.0
theta[643],-0.993,0.189,-1.351,-0.644,0.002,0.002,12402.0,12671.0,1.0
theta[1009],0.554,0.153,0.258,0.831,0.002,0.001,10306.0,13233.0,1.0
theta[190],0.128,0.171,-0.209,0.435,0.001,0.001,13709.0,11040.0,1.0
theta[665],1.147,0.145,0.867,1.414,0.002,0.001,6628.0,10468.0,1.0
theta[1077],0.666,0.162,0.354,0.961,0.002,0.001,8865.0,12033.0,1.0
theta[280],0.78,0.147,0.505,1.056,0.002,0.001,9128.0,11760.0,1.0
theta[636],0.713,0.149,0.435,0.997,0.002,0.001,7367.0,12061.0,1.0
theta[955],-2.236,0.294,-2.786,-1.685,0.002,0.002,15853.0,12216.0,1.0
theta[905],0.371,0.168,0.059,0.694,0.002,0.001,11653.0,11217.0,1.0
theta[1118],0.534,0.15,0.254,0.818,0.002,0.001,8565.0,11523.0,1.0
theta[239],0.145,0.158,-0.157,0.434,0.001,0.001,11908.0,11624.0,1.0
theta[650],1.469,0.154,1.185,1.765,0.002,0.001,6948.0,10688.0,1.0
theta[583],0.402,0.159,0.104,0.705,0.002,0.001,10897.0,13206.0,1.0
theta[731],1.085,0.149,0.807,1.363,0.002,0.001,7124.0,10713.0,1.0
theta[114],0.653,0.155,0.365,0.951,0.002,0.001,9610.0,11397.0,1.0
