,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
theta[791],0.886,0.153,0.593,1.169,0.002,0.001,7770.0,10753.0,1.0
theta[819],0.174,0.174,-0.147,0.505,0.002,0.001,12898.0,12301.0,1.0
theta[704],0.431,0.157,0.134,0.726,0.001,0.001,11554.0,12638.0,1.0
theta[178],-0.765,0.177,-1.102,-0.437,0.002,0.001,12303.0,13375.0,1.0
theta[21],-0.13,0.165,-0.439,0.18,0.002,0.001,11507.0,12434.0,1.0
theta[627],0.205,0.175,-0.135,0.524,0.001,0.001,15046.0,12841.0,1.0
theta[126],0.509,0.146,0.235,0.782,0.002,0.001,9193.0,12055.0,1.0
theta[578],-1.191,0.175,-1.528,-0.874,0.002,0.001,9685.0,11544.0,1.0
theta[782],0.847,0.155,0.553,1.131,0.002,0.001,8931.0,11852.0,1.0
theta[349],0.245,0.146,-0.027,0.519,0.002,0.001,8694.0,11896.0,1.0
theta[1164],0.976,0.199,0.599,1.343,0.002,0.002,13518.0,11895.0,1.0
theta[477],0.174,0.176,-0.163,0.497,0.001,0.001,13781.0,14024.0,1.0
theta[931],-0.04,0.168,-0.357,0.275,0.001,0.001,14674.0,13383.0,1.0
theta[341],0.136,0.17,-0.179,0.457,0.002,0.001,11888.0,12570.0,1.0
theta[874],-1.483,0.178,-1.823,-1.152,0.002,0.001,8740.0,11504.0,1.0
theta[22],-0.769,0.299,-1.335,-0.226,0.002,0.002,23669.0,14397.0,1.0
theta[576],-0.148,0.17,-0.476,0.161,0.002,0.001,11599.0,11394.0,1.0
theta[1018],0.892,0.149,0.618,1.177,0.002,0.001,7791.0,12061.0,1.0
theta[439],-1.397,0.169,-1.715,-1.077,0.002,0.001,8050.0,11645.0,1.0
theta[489],-0.895,0.181,-1.236,-0.558,0.002,0.002,11680.0,12331.0,1.0
theta[1065],-2.146,0.172,-2.476,-1.829,0.002,0.001,6973.0,9966.0,1.0
theta[541],0.544,0.152,0.263,0.834,0.001,0.001,10672.0,13449.0,1.0
theta[651],-0.719,0.213,-1.116,-0.316,0.002,0.002,15999.0,12401.0,1.0
theta[237],0.825,0.152,0.541,1.114,0.002,0.001,9430.0,10883.0,1.0
theta[575],-0.525,0.149,-0.813,-0.253,0.002,0.001,9496.0,12279.0,1.0
theta[606],0.711,0.154,0.43,1.009,0.002,0.001,8664.0,12336.0,1.0
theta[585],-1.39,0.277,-1.922,-0.886,0.002,0.002,21255.0,13808.0,1.0
theta[154],0.454,0.152,0.171,0.745,0.002,0.001,9048.0,12934.0,1.0
theta[988],-1.456,0.184,-1.791,-1.093,0.002,0.002,9922.0,11312.0,1.0
theta[423],-0.861,0.201,-1.238,-0.485,0.002,0.002,12978.0,11426.0,1.0
theta[711],-0.759,0.165,-1.066,-0.448,0.002,0.001,9435.0,12016.0,1.0
theta[872],1.032,0.155,0.744,1.324,0.002,0.001,7494.0,11573.0,1.0
theta[5],-0.058,0.356,-0.711,0.622,0.002,0.003,33053.0,12294.0,1.0
theta[1029],0.898,0.144,0.629,1.166,0.002,0.001,7090.0,11562.0,1.0
theta[647],0.213,0.184,-0.132,0.565,0.002,0.002,13213.0,13226.0,1.0
theta[629],-0.226,0.162,-0.524,0.086,0.002,0.001,10859.0,11918.0,1.0
theta[70],0.309,0.16,0.016,0.618,0.001,0.001,11450.0,12452.0,1.0
theta[398],0.053,0.173,-0.27,0.381,0.002,0.001,10205.0,13120.0,1.0
theta[227],-0.821,0.215,-1.229,-0.423,0.002,0.002,16291.0,12162.0,1.0
theta[419],-1.678,0.226,-2.103,-1.25,0.002,0.002,12062.0,12277.0,1.0
theta[654],0.434,0.169,0.122,0.756,0.002,0.001,11268.0,13755.0,1.0
theta[406],-1.248,0.154,-1.531,-0.952,0.002,0.001,8025.0,11609.0,1.0
theta[850],0.473,0.155,0.191,0.776,0.002,0.001,8688.0,10822.0,1.0
theta[314],-2.956,0.273,-3.478,-2.45,0.002,0.002,12699.0,11863.0,1.0
theta[135],0.488,0.158,0.194,0.789,0.002,0.001,10074.0,11956.0,1.0
theta[339],-0.881,0.352,-1.53,-0.211,0.002,0.003,26584.0,13622.0,1.0
theta[411],-0.466,0.321,-1.092,0.112,0.002,0.003,26103.0,11880.0,1.0
theta[1129],0.788,0.164,0.493,1.1,0.002,0.001,10217.0,12199.0,1.0
theta[798],0.703,0.154,0.414,0.995,0.002,0.001,9039.0,10430.0,1.0
theta[180],-2.075,0.365,-2.773,-1.399,0.002,0.003,25223.0,13193.0,1.0
theta[706],0.449,0.17,0.118,0.76,0.001,0.001,13073.0,13113.0,1.0
theta[46],0.622,0.148,0.34,0.894,0.002,0.001,8129.0,12452.0,1.0
theta[556],-0.306,0.164,-0.614,0.004,0.002,0.001,10628.0,11697.0,1.0
theta[513],0.865,0.148,0.594,1.151,0.002,0.001,7589.0,11590.0,1.0
theta[684],0.917,0.145,0.644,1.192,0.002,0.001,7364.0,11699.0,1.0
theta[1107],0.196,0.149,-0.088,0.468,0.002,0.001,9571.0,12579.0,1.0
theta[830],-0.686,0.321,-1.28,-0.074,0.002,0.003,29151.0,12522.0,1.0
theta[75],-1.76,0.349,-2.409,-1.096,0.002,0.003,22231.0,14063.0,1.0
theta[770],-0.183,0.158,-0.465,0.128,0.002,0.001,10176.0,11688.0,1.0
theta[755],-0.212,0.209,-0.599,0.175,0.002,0.002,18991.0,12537.0,1.0
theta[187],-1.414,0.23,-1.853,-0.993,0.002,0.002,13487.0,13075.0,1.0
theta[1080],-1.327,0.174,-1.652,-0.999,0.002,0.001,9791.0,11608.0,1.0
theta[915],0.682,0.149,0.393,0.953,0.002,0.001,8034.0,12274.0,1.0
theta[462],-0.41,0.16,-0.703,-0.098,0.001,0.001,12321.0,12797.0,1.0
theta[620],-1.004,0.175,-1.337,-0.683,0.002,0.001,9847.0,10912.0,1.0
theta[1022],0.955,0.154,0.658,1.237,0.002,0.001,8534.0,12210.0,1.0
theta[246],0.86,0.148,0.584,1.143,0.002,0.001,8621.0,12551.0,1.0
theta[569],0.751,0.151,0.475,1.039,0.002,0.001,7402.0,11816.0,1.0
theta[247],-0.175,0.156,-0.466,0.12,0.002,0.001,10069.0,11546.0,1.0
theta[29],0.476,0.168,0.152,0.782,0.002,0.001,11370.0,12893.0,1.0
theta[424],-0.389,0.191,-0.752,-0.036,0.002,0.002,15491.0,12234.0,1.0
theta[811],-2.312,0.183,-2.647,-1.956,0.002,0.001,6668.0,10532.0,1.0
theta[534],-0.529,0.316,-1.099,0.092,0.002,0.003,28753.0,13377.0,1.0
theta[1132],0.529,0.158,0.236,0.822,0.002,0.001,11151.0,13172.0,1.0
theta[980],-1.106,0.453,-1.954,-0.254,0.003,0.004,31859.0,13866.0,1.0
theta[332],0.652,0.153,0.371,0.946,0.002,0.001,9809.0,12885.0,1.0
theta[918],-0.006,0.214,-0.411,0.387,0.002,0.002,16515.0,13383.0,1.0
theta[19],0.652,0.159,0.35,0.949,0.002,0.001,10359.0,12474.0,1.0
theta[17],1.166,0.158,0.872,1.464,0.002,0.001,8230.0,11505.0,1.0
theta[1105],0.998,0.152,0.718,1.289,0.002,0.001,9060.0,12731.0,1.0
theta[1101],0.714,0.149,0.436,0.993,0.002,0.001,8692.0,11872.0,1.0
theta[166],-1.684,0.202,-2.063,-1.306,0.002,0.002,11220.0,11819.0,1.0
theta[646],-0.208,0.155,-0.496,0.082,0.002,0.001,9692.0,12738.0,1.0
theta[564],-0.107,0.156,-0.404,0.184,0.002,0.001,9406.0,12794.0,1.0
theta[810],1.115,0.141,0.837,1.37,0.002,0.001,6048.0,11235.0,1.0
theta[942],0.766,0.158,0.463,1.055,0.002,0.001,9497.0,11365.0,1.0
theta[228],0.763,0.153,0.467,1.045,0.002,0.001,9527.0,12299.0,1.0
theta[93],1.024,0.163,0.725,1.343,0.002,0.001,8631.0,12136.0,1.0
theta[1004],0.614,0.154,0.32,0.899,0.002,0.001,9402.0,13498.0,1.0
theta[752],0.083,0.153,-0.202,0.371,0.002,0.001,9542.0,13320.0,1.0
theta[749],0.146,0.188,-0.204,0.504,0.002,0.002,14047.0,13095.0,1.0
theta[89],0.807,0.157,0.51,1.101,0.002,0.001,8479.0,12228.0,1.0
theta[440],0.3,0.158,0.004,0.604,0.002,0.001,10533.0,11162.0,1.0
theta[753],1.181,0.146,0.912,1.46,0.002,0.001,7275.0,11981.0,1.0
theta[623],0.295,0.155,0.004,0.589,0.002,0.001,9709.0,11913.0,1.0
theta[922],-1.841,0.232,-2.281,-1.403,0.002,0.002,13081.0,12322.0,1.0
theta[837],-0.006,0.166,-0.314,0.309,0.002,0.001,9626.0,12437.0,1.0
theta[335],0.144,0.173,-0.175,0.481,0.002,0.001,12674.0,11768.0,1.0
theta[552],0.746,0.16,0.452,1.05,0.002,0.001,9489.0,12655.0,1.0
theta[856],-0.066,0.398,-0.815,0.689,0.002,0.003,29953.0,13275.0,1.0
theta[975],0.392,0.159,0.085,0.683,0.002,0.001,10667.0,11570.0,1.0
theta[51],-0.038,0.159,-0.332,0.263,0.001,0.001,11462.0,12132.0,1.0
theta[311],1.1,0.149,0.821,1.38,0.002,0.001,6535.0,12311.0,1.0
theta[250],-0.044,0.177,-0.377,0.295,0.002,0.001,13924.0,14001.0,1.0
theta[377],-0.07,0.156,-0.362,0.228,0.001,0.001,11088.0,12093.0,1.0
theta[121],-1.647,0.262,-2.126,-1.149,0.002,0.002,15976.0,13796.0,1.0
theta[958],-0.575,0.176,-0.907,-0.249,0.002,0.001,13198.0,11779.0,1.0
theta[1062],-2.774,0.195,-3.13,-2.402,0.002,0.002,6382.0,10191.0,1.0
theta[404],-1.591,0.168,-1.924,-1.29,0.002,0.001,6573.0,9368.0,1.0
theta[53],-0.196,0.248,-0.674,0.259,0.002,0.002,24783.0,13219.0,1.0
theta[727],0.645,0.209,0.26,1.04,0.002,0.002,16209.0,13281.0,1.0
theta[528],0.705,0.161,0.407,1.013,0.002,0.001,9826.0,12578.0,1.0
theta[183],0.509,0.151,0.236,0.798,0.002,0.001,9697.0,12125.0,1.0
theta[784],-1.043,0.164,-1.355,-0.737,0.002,0.001,9206.0,12106.0,1.0
theta[669],-2.592,0.216,-2.99,-2.18,0.002,0.002,7754.0,10585.0,1.0
theta[1146],1.122,0.15,0.839,1.403,0.002,0.001,8750.0,10305.0,1.0
theta[479],0.563,0.161,0.267,0.872,0.001,0.001,11918.0,12600.0,1.0
theta[366],0.257,0.154,-0.039,0.541,0.001,0.001,10794.0,11303.0,1.0
theta[218],-0.863,0.169,-1.183,-0.546,0.002,0.001,12200.0,12607.0,1.0
theta[375],0.039,0.149,-0.241,0.321,0.002,0.001,9270.0,11180.0,1.0
theta[420],-0.891,0.225,-1.305,-0.457,0.002,0.002,15907.0,12467.0,1.0
theta[687],1.143,0.164,0.825,1.439,0.002,0.001,8433.0,12392.0,1.0
theta[842],-0.546,0.181,-0.879,-0.197,0.002,0.002,12516.0,11679.0,1.0
theta[30],-1.969,0.337,-2.601,-1.33,0.002,0.003,26045.0,13236.0,1.0
theta[996],0.693,0.172,0.358,1.01,0.002,0.001,11534.0,11972.0,1.0
theta[459],-0.236,0.223,-0.657,0.182,0.002,0.002,18931.0,13111.0,1.0
theta[663],0.84,0.147,0.559,1.113,0.002,0.001,7558.0,11757.0,1.0
theta[1149],0.14,0.158,-0.16,0.432,0.001,0.001,11245.0,12304.0,1.0
theta[222],0.885,0.158,0.583,1.178,0.002,0.001,8756.0,12214.0,1.0
theta[215],-0.985,0.29,-1.517,-0.434,0.002,0.002,28093.0,13615.0,1.0
theta[1127],0.908,0.157,0.602,1.194,0.002,0.001,8546.0,11359.0,1.0
theta[425],0.465,0.177,0.136,0.795,0.002,0.001,12208.0,13026.0,1.0
theta[963],0.584,0.152,0.309,0.885,0.001,0.001,10621.0,12379.0,1.0
theta[96],-0.316,0.181,-0.656,0.026,0.001,0.001,15035.0,12809.0,1.0
theta[916],-0.094,0.167,-0.398,0.231,0.002,0.001,11160.0,11551.0,1.0
theta[325],0.524,0.154,0.236,0.81,0.002,0.001,9360.0,11926.0,1.0
theta[594],1.039,0.149,0.754,1.316,0.002,0.001,8025.0,12417.0,1.0
theta[774],-0.91,0.205,-1.308,-0.538,0.002,0.002,15222.0,12767.0,1.0
theta[79],-2.192,0.266,-2.686,-1.694,0.002,0.002,15549.0,12741.0,1.0
theta[658],0.813,0.164,0.505,1.121,0.001,0.001,12979.0,10951.0,1.0
theta[56],1.126,0.159,0.814,1.412,0.002,0.001,7682.0,11137.0,1.0
theta[589],0.857,0.167,0.544,1.169,0.002,0.001,9159.0,12555.0,1.0
theta[329],0.334,0.172,0.014,0.651,0.002,0.001,12589.0,11590.0,1.0
theta[205],0.976,0.163,0.67,1.278,0.002,0.001,10144.0,11912.0,1.0
theta[95],-1.185,0.163,-1.499,-0.885,0.002,0.001,7665.0,12234.0,1.0
theta[141],-0.394,0.155,-0.686,-0.106,0.002,0.001,10043.0,11958.0,1.0
theta[978],-3.404,0.314,-4.006,-2.824,0.003,0.003,14246.0,13645.0,1.0
theta[431],0.09,0.154,-0.196,0.383,0.002,0.001,9113.0,13323.0,1.0
theta[631],-0.111,0.291,-0.656,0.429,0.002,0.002,25315.0,13669.0,1.0
theta[545],0.761,0.16,0.458,1.058,0.002,0.001,10019.0,12321.0,1.0
theta[399],-0.12,0.479,-1.018,0.776,0.003,0.004,32523.0,13301.0,1.0
theta[442],-0.494,0.182,-0.841,-0.164,0.001,0.001,15656.0,12872.0,1.0
theta[917],0.944,0.145,0.67,1.216,0.002,0.001,7797.0,10600.0,1.0
theta[2],1.062,0.151,0.787,1.353,0.002,0.001,7911.0,11398.0,1.0
theta[780],0.144,0.168,-0.172,0.468,0.002,0.001,11094.0,13339.0,1.0
theta[1176],0.206,0.158,-0.072,0.524,0.001,0.001,11856.0,12178.0,1.0
theta[402],0.518,0.15,0.222,0.791,0.001,0.001,11095.0,12589.0,1.0
theta[721],0.488,0.165,0.177,0.794,0.002,0.001,11133.0,12716.0,1.0
theta[970],0.979,0.151,0.684,1.25,0.002,0.001,9059.0,12049.0,1.0
theta[747],-0.138,0.169,-0.456,0.18,0.002,0.001,11959.0,12275.0,1.0
theta[273],0.518,0.139,0.259,0.78,0.002,0.001,7807.0,11361.0,1.0
theta[232],0.393,0.147,0.124,0.671,0.002,0.001,9141.0,12086.0,1.0
theta[725],-0.308,0.186,-0.659,0.034,0.001,0.002,15426.0,12738.0,1.0
theta[926],0.801,0.144,0.529,1.07,0.002,0.001,7880.0,12470.0,1.0
theta[738],0.772,0.141,0.503,1.039,0.002,0.001,6859.0,11262.0,1.0
theta[363],0.279,0.174,-0.058,0.6,0.002,0.002,11130.0,11955.0,1.0
theta[40],0.517,0.165,0.204,0.821,0.002,0.001,10036.0,13374.0,1.0
theta[1159],0.216,0.174,-0.108,0.545,0.002,0.001,13054.0,12040.0,1.0
theta[1060],0.478,0.146,0.196,0.744,0.002,0.001,8843.0,11765.0,1.0
theta[724],0.582,0.161,0.275,0.886,0.002,0.001,10811.0,12249.0,1.0
theta[737],-0.788,0.156,-1.074,-0.489,0.002,0.001,9121.0,11549.0,1.0
theta[1089],0.172,0.165,-0.143,0.473,0.002,0.001,11807.0,12412.0,1.0
theta[562],0.398,0.155,0.118,0.699,0.002,0.001,9276.0,11751.0,1.0
theta[682],-0.201,0.146,-0.476,0.079,0.001,0.001,10627.0,12684.0,1.0
